date,demand_GW
2020-08-18 06:10:34,27083
2020-08-18 06:15:34,27534
2020-08-18 06:20:35,27753
2020-08-18 06:25:34,27971
2020-08-18 06:30:34,28125
2020-08-18 06:35:35,28295
2020-08-18 06:40:34,28526
2020-08-18 06:47:43,28697
2020-08-18 06:50:34,28875
2020-08-18 06:55:35,29108
2020-08-18 07:00:34,29139
2020-08-18 07:05:35,28723
2020-08-18 07:10:34,28289
2020-08-18 07:15:34,28312
2020-08-18 07:20:35,28594
2020-08-18 07:25:34,28797
2020-08-18 07:30:35,28894
2020-08-18 07:35:34,28947
2020-08-18 07:40:35,28971
2020-08-18 07:45:35,28985
2020-08-18 07:50:35,28998
2020-08-18 07:55:34,29071
2020-08-18 08:00:34,29212
2020-08-18 08:05:35,29182
2020-08-18 08:10:34,29512
2020-08-18 08:15:35,29698
2020-08-18 08:20:34,29889
2020-08-18 08:25:34,30019
2020-08-18 08:30:35,30068
2020-08-18 08:35:35,30045
2020-08-18 08:40:36,30023
2020-08-18 08:45:34,30059
2020-08-18 08:50:34,30049
2020-08-18 08:55:35,30070
2020-08-18 09:00:34,29936
2020-08-18 09:05:35,29919
2020-08-18 09:10:34,29830
2020-08-18 09:15:35,29950
2020-08-18 09:21:38,29885
2020-08-18 09:25:34,29741
2020-08-18 09:30:35,29507
2020-08-18 09:35:35,29453
2020-08-18 09:40:34,29508
2020-08-18 09:45:34,29632
2020-08-18 09:50:35,29553
2020-08-18 09:55:34,29688
2020-08-18 10:00:35,29707
2020-08-18 10:05:35,29528
2020-08-18 10:10:34,29325
2020-08-18 10:15:35,29565
2020-08-18 10:20:35,29435
2020-08-18 10:25:35,29358
2020-08-18 10:30:34,29355
2020-08-18 10:35:35,29354
2020-08-18 10:40:35,29370
2020-08-18 10:45:34,29264
2020-08-18 10:50:35,29194
2020-08-18 10:55:34,28982
2020-08-18 11:00:36,29139
2020-08-18 11:05:34,29138
2020-08-18 11:10:34,29504
2020-08-18 11:15:35,29625
2020-08-18 11:20:34,29769
2020-08-18 11:25:34,29604
2020-08-18 11:30:35,29554
2020-08-18 11:35:35,29610
2020-08-18 11:40:35,29557
2020-08-18 11:45:34,29452
2020-08-18 11:50:35,29400
2020-08-18 11:55:34,29425
2020-08-18 12:00:35,29382
2020-08-18 12:05:34,29401
2020-08-18 12:10:34,29094
2020-08-18 12:15:34,29064
2020-08-18 12:20:35,29027
2020-08-18 12:25:34,29028
2020-08-18 12:30:35,28878
2020-08-18 12:35:35,28818
2020-08-18 12:40:34,28784
2020-08-18 12:45:35,28587
2020-08-18 12:50:34,28553
2020-08-18 12:55:36,28544
2020-08-18 13:00:35,28521
2020-08-18 13:05:35,28453
2020-08-18 13:10:34,28480
2020-08-18 13:15:35,28551
2020-08-18 13:20:35,28484
2020-08-18 13:25:35,28230
2020-08-18 13:30:37,28172
2020-08-18 13:35:34,28075
2020-08-18 13:40:35,28064
2020-08-18 13:45:34,28101
2020-08-18 13:50:36,28122
2020-08-18 13:55:35,28092
2020-08-18 14:00:35,28115
2020-08-18 14:05:34,28122
2020-08-18 14:10:35,28326
2020-08-18 14:15:36,28320
2020-08-18 14:20:35,28415
2020-08-18 14:25:35,28635
2020-08-18 14:30:35,28684
2020-08-18 14:35:35,28678
2020-08-18 14:40:34,28814
2020-08-18 14:45:35,28807
2020-08-18 14:50:35,28766
2020-08-18 14:55:35,28817
2020-08-18 15:00:35,28846
2020-08-18 15:05:34,28776
2020-08-18 15:10:35,29076
2020-08-18 15:15:35,29123
2020-08-18 15:20:35,29332
2020-08-18 15:25:35,29486
2020-08-18 15:30:37,29504
2020-08-18 15:35:35,29524
2020-08-18 15:40:35,29701
2020-08-18 15:45:35,29858
2020-08-18 15:50:35,30114
2020-08-18 15:55:37,30353
2020-08-18 16:00:35,30450
2020-08-18 16:05:35,30493
2020-08-18 16:10:34,30738
2020-08-18 16:15:34,30744
2020-08-18 16:20:35,30802
2020-08-18 16:25:36,30907
2020-08-18 16:30:36,30997
2020-08-18 16:35:35,31071
2020-08-18 16:40:34,31197
2020-08-18 16:45:35,31310
2020-08-18 16:50:34,31310
2020-08-18 16:55:35,31391
2020-08-18 17:00:36,31295
2020-08-18 17:05:35,31309
2020-08-18 17:10:35,31351
2020-08-18 17:15:34,31317
2020-08-18 17:20:36,31274
2020-08-18 17:25:34,31105
2020-08-18 17:30:36,31030
2020-08-18 17:35:35,31114
2020-08-18 17:40:35,31340
2020-08-18 17:45:36,31449
2020-08-18 17:50:34,31547
2020-08-18 17:55:34,31590
2020-08-18 18:00:35,31583
2020-08-18 18:05:34,31571
2020-08-18 18:10:35,31436
2020-08-18 18:15:34,31541
2020-08-18 18:20:35,31506
2020-08-18 18:25:35,31443
2020-08-18 18:30:35,31363
2020-08-18 18:35:35,31292
2020-08-18 18:40:34,31339
2020-08-18 18:45:34,31220
2020-08-18 18:50:34,31146
2020-08-18 18:55:35,31112
2020-08-18 19:00:35,30964
2020-08-18 19:05:34,30963
2020-08-18 19:10:35,30937
2020-08-18 19:15:36,30914
2020-08-18 19:20:34,30875
2020-08-18 19:25:34,30859
2020-08-18 19:30:35,30795
2020-08-18 19:35:35,30827
2020-08-18 19:40:35,30636
2020-08-18 19:45:35,30613
